Idx,Locality,Industry,Start,Title,Company,Prev Company,Post
pub-ruben-buitenhuis-20-722-3bb,"Utrecht Area, Netherlands",Financiële administratie,December 2011,Penningmeester,T.C. Teskwik,KPMG,"Als ondernemer in het MKB moet je continu reageren op allerlei ontwikkelingen die van invloed (kunnen) zijn op je business en onderneming. Adequaat handelen kost tijd, expertise en energie. Soms zijn die niet voorhanden of heb je behoefte aan een sparringpartner.Dat zijn de momenten waarop de mensen van KPMG MKB je (onderneming) verder helpen.In NL werken ruim 200 generalisten met hun eigen MKB-specialiteit op het gebied van:- financiële administratie (verzorgen, beoordelen en analyseren);- jaarrekening (samenstellen en beoordelen);- fiscaliteit (verzorgen van belastingaangiften en advisering);- personeel (verzorgen salarisadministratie en advies);- bedrijfseconomie (zoals financiering, herstructurering, bedrijfsoverdracht);- de DGA (zoals financiële planning, bedrijfsopvolging, coaching).TIJD EN GELD BESPAREN door jou als ondernemer:[X] Direct online: 1 keer inloggenKPMG MKB Online, je persoonlijke website geeft je direct toegang tot je financiële administratie, salarisadministratie, jaarrekening, belastingaangifte en relevant nieuws. Je kan deze rechten ook delen of delegeren.[X] Snel en eenvoudig documenten accorderen en indienenMet KPMG MKB Online voorzie je de documenten van een digitale handtekening. Je kan veilig online jaarrekeningen accorderen en automatisch deponeren bij de KvK. Alle fiscale aangiften worden na jouw akkoord digitaal bij de belastingdienst ingediend. Snel, overzichtelijk en zonder papier.[X] Digitaal archiefMet KPMG MKB Online leg je automatisch een overzichtelijk online archief aan dat je 24/7 waar ook ter wereld kunt raadplegen en iedere ander die je daarvoor toestemming geeft (bijvoorbeeld de bank of andere stakeholders).[X] ""Cutting through complexity""Met KPMG MKB Online verleg je het accent van tijdrovende administratieve verplichtingen naar ruimte voor ondernemen ! Daar geloven wij in en wij zijn graag je businesspartner."
pub-ruben-rog-7-1b6-258,"The Hague Area, Netherlands",Olie en energie,February 2009,Partner,KPMG - Energy & Natural Resources,KPMG,"Allround financial advisor to companies operating in the oil&gas industry. Experienced gained through working with (inter)national and state owned oil&gas companies, drilling companies and general service providers to oil&gas industry."
pub-rui-guedes-henriques-b-40-8a8,"Lisbon Area, Portugal",Contabilidade,April 2009,Head of Tax,Baker Tilly Portugal,Deloitte,"* Assistant at Audit and Outsourcing department with Andersen;* Tax auditor at the Portuguese Tax Authorities Office;* Senior Tax Consultant with PricewaterhouseCoopers;* Tax Manager with Deloitte (Andersen until the merger with Deloitte);* Senior Tax Manager with Deloitte;* Lecturer of taxation matters in post graduations at ISEG (Universidade Técnica de Lisboa) and ISG (Head of Tax team on Management Phd and Masters)* Author of several papers about tax matters with several international magazines (e.g.: International Tax Review, Tax Analysts, Câmara de Comércio Luso Americana)"
pub-rui-lacÃ£o-7-752-8b9,"Lisbon Area, Portugal",Atendimento ao consumidor,September 2010,Consultant,Greenwich Consulting,Deloitte,"I am a very good teamworker, used to work under high-pressure environments. I like people and I know how to develop them.I worked in strategy and management Consultancy with 4 years of experience in different areas (Oil and Gas, Shipping, Air Transportation, Telecom).Major Projects: Marketing Plan and Corporate Strategy for a Angolan Telecom Operator.Major Achievements: Launching a Great Price Plan on the Angolan market that impacted the Gross Ads (new customers) on a 7x multiple.I lived and worked in three different Countries: Portugal, Angola and Iran.Language Skills: Portuguese (Native), English (Fluent), Spanish (Intermediate), French (Beginner), German (Beginner)Skillset:Industry: Telecom, Oil and GasCompetence: Management, Budgeting, Planning, Marketing, HR, Processes."
pub-rupert-morgan-29-783-4b5,"London, United Kingdom",Banking,September 2011,Relationship Executive,HSBC Private Bank,Ernst & Young,"I graduated from Durham in Politics (2.1) in July 2011. I then joined HSBC Private Bank on a Graduate Scheme in September 2011, spending time gaining experience in the Credit and Risk department, as well as with a number of specialist investment teams. I have since permanently joined an ultra-high-net-worth onshore relationship team, helping to look after the needs of all clients of the team, on the investment, credit and banking side. I am currently studying for the Investment Advice Diploma, having recently passed both the 'FSA Regulation and Professional Integrity' and 'Investment, Risk and Taxation' modules."
pub-ruslan-agasiev-8-225-755,"Moscow, Russian Federation",Кадровое сопровождение,January 2011,HR Lead Plant,AstraZeneca,Ernst & Young,.
pub-ruth-madziva-28-292-643,"Johannesburg Area, South Africa",Accounting,April 2012,CA(SA) Seeking employment opportunities,",",KPMG,"- Completed my three year articles at KPMG- Completed both board exams on first attempt.Key strengths include, but are not limited to:- strive for continued excellence- strong communication skills- attention to detail- assertive- able to work independently- integrates easily with a team- eager to learn new things"
pub-ruud-kreijkes-15-2a6-12a,"Enschede Area, Netherlands",Financiële services,2012,Supervisor,Kpmg,KPMG,"Als ondernemer in het MKB moet je continu reageren op allerlei ontwikkelingen die van invloed (kunnen) zijn op je business en onderneming. Adequaat handelen kost tijd, expertise en energie. Soms zijn die niet voorhanden of heb je behoefte aan een sparringpartner.Dat zijn de momenten waarop de mensen van KPMG MKB je (onderneming) verder helpen.In NL werken ruim 200 generalisten met hun eigen MKB-specialiteit op het gebied van:- financiële administratie (verzorgen, beoordelen en analyseren);- jaarrekening (samenstellen en beoordelen);- fiscaliteit (verzorgen van belastingaangiften en advisering);- personeel (verzorgen salarisadministratie en advies);- bedrijfseconomie (zoals financiering, herstructurering, bedrijfsoverdracht);- de DGA (zoals financiële planning, bedrijfsopvolging, coaching).TIJD EN GELD BESPAREN door jou als ondernemer:[X] Direct online: 1 keer inloggenKPMG MKB Online, je persoonlijke website geeft je direct toegang tot je financiële administratie, salarisadministratie, jaarrekening, belastingaangifte en relevant nieuws. Je kan deze rechten ook delen of delegeren.[X] Snel en eenvoudig documenten accorderen en indienenMet KPMG MKB Online voorzie je de documenten van een digitale handtekening. Je kan veilig online jaarrekeningen accorderen en automatisch deponeren bij de KvK. Alle fiscale aangiften worden na jouw akkoord digitaal bij de belastingdienst ingediend. Snel, overzichtelijk en zonder papier.[X] Digitaal archiefMet KPMG MKB Online leg je automatisch een overzichtelijk online archief aan dat je 24/7 waar ook ter wereld kunt raadplegen en iedere ander die je daarvoor toestemming geeft (bijvoorbeeld de bank of andere stakeholders).[X] ""Cutting through complexity""Met KPMG MKB Online verleg je het accent van tijdrovende administratieve verplichtingen naar ruimte voor ondernemen ! Daar geloven wij in en wij zijn graag je businesspartner."
pub-ryan-burford-17-a36-42,"London, United Kingdom",Accounting,August 2008,Senior Tax Manager,Warrener Stewart,Ernst & Young,Chartered Tax Adviser (CTA) specialising in providing advice to owner-managers on all aspects of personal and business tax matters.I am also an Associate of the Institute of Chartered Accountants in England & Wales (ACA).
pub-ryan-clark-13-3b9-419,Greater Chicago Area,Financial Services,August 2010,Associate,Grosvenor Capital Management,KPMG,"Ryan Clark graduated from the University of Illinois at Urbana-Champaign from both the College of Business and College of Engineering. He received a B.S. in accountancy, and a minor in Technology and Management. Ryan is a serial entrepreneur. He has created several successful web companies including TVRockstars.com, 247Mixtapes.com, and Auxify.com, receiving many honors for his entrepreneurial endeavors. In 2009 Ryan was the proud recipient of the National Black Engineer of the Year Award for Student Leadership and was named “1 of 7 Next Generation: Emerging Leaders Under 40” by Diversity Executive Magazine for his entrepreneurial success in college. Also in 2009, Ryan was a finalist in Entrepreneur Magazine’s and mtvU’s business plan competitions with UTicketIt.com. In 2010, he competed in the Idea 2 Product regional competition for UTicketIt in St. Louis, which led him to the global competition as a finalist. In 2011 Ryan was listed as #2 on YFS (Young, Fabulous & Self-Employed) magazine’s Top 20 Young Entrepreneurs of 2011. In 2012, Ryan was featured in the 2012 Aenta African American History Calendar.Currently, Ryan works for an alternative investments firm, where he serves as the liaison between software development and client services. In his position, Ryan automates processes, and leads training and support for newly implemented technologies.Ryan is also a mentor in the Big Brother Big Sister Program of Metropolitan Chicago where he dedicates time every month to being a positive role model for local at-risk youth. Giving back to the community is essential. Ryan believes that success means nothing unless you can bring someone else along the way. Being able to encourage others to achieve their dreams and aspirations is one way Ryan achieves that."
